Business Name,Phone,Website,Rating,City,Category
"Mange Ram Dharamshala","9812425000","","4.8","Khatu Shyam Ji","Dharamshala & Trusts"
"Surajgarh Bhawan Dharamshala","9414038155","","4.7","Khatu Shyam Ji","Dharamshala & Trusts"
"Shree Shyam Mandir Committee Yatri Niwas","9414038200","","4.9","Khatu Shyam Ji","Dharamshala & Trusts"
"Morvi Dharamshala Trust","9829034500","","4.6","Khatu Shyam Ji","Dharamshala & Trusts"
"Haryana Sewa Sadan Trust","9812034111","","4.7","Khatu Shyam Ji","Dharamshala & Trusts"
"Kolkata Bhawan Dharamshala","9830025600","","4.6","Khatu Shyam Ji","Dharamshala & Trusts"
"Gujarat Bhawan Atithi Niwas","9825012340","","4.5","Khatu Shyam Ji","Dharamshala & Trusts"
"Birla Dharamshala & Atithi Sadan","9414012900","","4.8","Khatu Shyam Ji","Dharamshala & Trusts"
"Maheshwari Bhawan Dharamshala","9414123450","","4.7","Khatu Shyam Ji","Dharamshala & Trusts"
"Agarwal Dharamshala Trust","9414234560","","4.6","Khatu Shyam Ji","Dharamshala & Trusts"
"Delhi Bhawan Yatri Sadan","9810023450","","4.5","Khatu Shyam Ji","Dharamshala & Trusts"
"Toran Dwar Atithi Bhawan","9414345670","","4.6","Khatu Shyam Ji","Dharamshala & Trusts"
"Baba Shyam Kripa Bhawan","9414456780","","4.7","Khatu Shyam Ji","Dharamshala & Trusts"
"Shree Balaji Mandir Trust Dharamshala","9414085100","","4.9","Salasar Balaji","Dharamshala & Trusts"
"Sharda Bhawan Dharamshala","9414085222","","4.7","Salasar Balaji","Dharamshala & Trusts"
"Anjani Mata Mandir Trust Bhawan","9414085333","","4.8","Salasar Balaji","Dharamshala & Trusts"
"Maheshwari Seva Trust Bhawan","9414085444","","4.6","Salasar Balaji","Dharamshala & Trusts"
"Agarwal Seva Sadan Salasar","9414085555","","4.7","Salasar Balaji","Dharamshala & Trusts"
"Haryana Bhawan Salasar","9812085666","","4.5","Salasar Balaji","Dharamshala & Trusts"
"Shri Sanwaliya Seth Mandir Trust Dharamshala","9414112100","","4.9","Chittorgarh","Dharamshala & Trusts"
"Mewar Yatri Niwas Bhawan","9414112200","","4.7","Chittorgarh","Dharamshala & Trusts"
"Sanwaliya Ji Maheshwari Sewa Sadan","9414112300","","4.8","Chittorgarh","Dharamshala & Trusts"
"Agarwal Dharamshala Mandaphiya","9414112400","","4.6","Chittorgarh","Dharamshala & Trusts"
"Chittorgarh Fort Jain Atithi Bhawan","9414112500","","4.7","Chittorgarh","Dharamshala & Trusts"
"Shreenathji Temple Board Dharamshala","9414170100","","4.9","Nathdwara","Dharamshala & Trusts"
"Vallabh Bhawan Yatri Niwas","9414170200","","4.7","Nathdwara","Dharamshala & Trusts"
"New Bombay Dharamshala Nathdwara","9414170300","","4.6","Nathdwara","Dharamshala & Trusts"
"Maheshwari Bhawan Trust Nathdwara","9414170400","","4.8","Nathdwara","Dharamshala & Trusts"
"Gujarat Samaj Dharamshala","9825170500","","4.5","Nathdwara","Dharamshala & Trusts"
"Shri Kesariyaji Jain Shwetambar Tirth Trust Dharamshala","9414280100","","4.9","Udaipur","Dharamshala & Trusts"
"Digambar Jain Yatri Niwas Rishabhdeo","9414280200","","4.7","Udaipur","Dharamshala & Trusts"
"Mewar Jain Atithi Bhawan","9414280300","","4.6","Udaipur","Dharamshala & Trusts"
"Shri Nakoda Parshwanath Jain Tirth Trust Dharamshala","9414390100","","4.9","Nakoda Ji","Dharamshala & Trusts"
"Nakoda Bhairav Atithi Bhawan Complex","9414390200","","4.8","Nakoda Ji","Dharamshala & Trusts"
"Shree Nakoda Bhojanshala & Dharamshala Sadan","9414390300","","4.8","Nakoda Ji","Dharamshala & Trusts"
"Delwara Jain Tirth Trust Dharamshala","9414410100","","4.9","Mount Abu","Dharamshala & Trusts"
"Gujarat Bhawan Trust Mount Abu","9825410200","","4.6","Mount Abu","Dharamshala & Trusts"
"Maheshwari Seva Sadan Mount Abu","9414410300","","4.7","Mount Abu","Dharamshala & Trusts"
"Jagatpita Brahma Mandir Trust Dharamshala","9414520100","","4.8","Pushkar","Dharamshala & Trusts"
"Maheshwari Sewa Sadan Pushkar","9414520200","","4.8","Pushkar","Dharamshala & Trusts"
"Marwar Dharamshala Trust Pushkar","9414520300","","4.6","Pushkar","Dharamshala & Trusts"
"Agarwal Dharamshala Pushkar","9414520400","","4.6","Pushkar","Dharamshala & Trusts"
"Bankey Bihari Mandir Atithi Sadan","9837012100","","4.9","Vrindavan","Dharamshala & Trusts"
"Shri Krishna Janmabhoomi Trust Yatri Niwas","9837012200","","4.8","Mathura","Dharamshala & Trusts"
"Prem Mandir Atithi Bhawan","9837012300","","4.9","Vrindavan","Dharamshala & Trusts"
"Maheshwari Bhawan Trust Vrindavan","9837012400","","4.7","Vrindavan","Dharamshala & Trusts"
"Agarwal Dharamshala Vrindavan","9837012500","","4.6","Vrindavan","Dharamshala & Trusts"
"Shri Ram Janmabhoomi Teerth Kshetra Yatri Sadan","9450012100","","5.0","Ayodhya","Dharamshala & Trusts"
"Kanak Bhawan Trust Dharamshala","9450012200","","4.8","Ayodhya","Dharamshala & Trusts"
"Birla Dharamshala Ayodhya","9450012300","","4.7","Ayodhya","Dharamshala & Trusts"
"Har Ki Pauri Trust Yatri Niwas","9897012100","","4.8","Haridwar","Dharamshala & Trusts"
"Jairam Ashram Trust Dharamshala","9897012200","","4.7","Haridwar","Dharamshala & Trusts"
